municipio,año,periodo,casos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_infante_mayor,ciclo_vital_infante_menor,regimen_salud_contributivo,regimen_salud_otro,regimen_salud_subsidiado,evento_clasico,evento_grave,sexo_femenino,sexo_masculino
BARANOA,2017,6,1,0,0,0,1,0,0,0,1,1,0,0,1
BARANOA,2017,7,2,0,2,0,0,0,1,0,1,2,0,0,2
BARANOA,2017,11,2,0,2,0,0,0,1,0,1,2,0,1,1
BARANOA,2017,12,1,0,1,0,0,0,1,0,0,1,0,0,1
BARANOA,2017,13,1,0,1,0,0,0,0,0,1,1,0,1,0
BARANOA,2018,2,1,1,0,0,0,0,1,0,0,1,0,1,0
BARANOA,2018,4,1,0,1,0,0,0,0,0,1,1,0,1,0
BARANOA,2018,5,1,0,1,0,0,0,0,0,1,1,0,1,0
BARANOA,2018,6,2,0,2,0,0,0,1,0,1,2,0,0,2
BARANOA,2018,7,3,0,1,0,2,0,0,1,2,3,0,1,2
BARANOA,2018,8,7,2,0,0,5,0,3,0,4,6,1,4,3
BARANOA,2018,9,11,4,1,0,6,0,1,1,9,10,1,4,7
BARANOA,2018,10,32,15,3,0,14,0,15,1,16,30,2,21,11
BARANOA,2018,11,24,16,2,0,6,0,10,0,14,24,0,13,11
BARANOA,2018,12,26,14,6,0,6,0,14,1,11,26,0,8,18
BARANOA,2018,13,54,25,4,0,25,0,19,1,34,54,0,28,26
BARANOA,2019,1,55,28,4,0,23,0,16,2,37,54,1,31,24
BARANOA,2019,2,15,7,2,0,6,0,1,1,13,14,1,10,5
BARANOA,2019,3,19,8,1,0,9,1,3,0,16,19,0,8,11
BARANOA,2019,4,2,1,1,0,0,0,0,0,2,2,0,1,1
BARANOA,2019,5,5,0,0,0,5,0,1,0,4,5,0,0,5
BARANOA,2019,6,3,1,1,0,1,0,2,0,1,3,0,1,2
BARANOA,2019,7,6,3,0,0,3,0,1,0,5,6,0,3,3
BARANOA,2019,8,15,5,3,1,6,0,4,2,9,14,1,7,8
BARANOA,2019,9,27,16,3,0,8,0,6,0,21,26,1,13,14
BARANOA,2019,10,42,27,2,0,13,0,5,2,35,42,0,19,23
BARANOA,2019,11,54,26,7,0,21,0,17,1,36,53,1,27,27
BARANOA,2019,12,67,36,8,0,23,0,16,2,49,65,2,27,40
BARANOA,2019,13,85,47,5,0,33,0,23,2,60,84,1,39,46
BARANOA,2020,1,67,30,9,0,28,0,17,6,44,67,0,40,27
BARANOA,2020,2,31,11,4,1,15,0,8,2,21,30,1,20,11
BARANOA,2020,3,8,4,1,0,3,0,1,1,6,8,0,3,5
BARANOA,2020,4,4,1,0,0,3,0,3,0,1,4,0,3,1
BARANOA,2020,6,1,0,1,0,0,0,0,0,1,1,0,1,0
BARANOA,2020,8,7,4,1,0,2,0,2,0,5,6,1,6,1
