municipio,año,periodo,casos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_infante_mayor,ciclo_vital_infante_menor,regimen_salud_contributivo,regimen_salud_otro,regimen_salud_subsidiado,evento_clasico,evento_grave,sexo_femenino,sexo_masculino,temp_media,humedad,precipitacion,dist_rio,dist_lago,acueducto_continuidad,acueducto_porcentaje
BARANOA,2018,2,1,1,0,0,0,0,1,0,0,1,0,1,0,27.141193280901245,83.70044299534389,0.6100000180304047,1.275986857905614,17.60367485448971,23.73,98.93
BARANOA,2018,4,1,0,1,0,0,0,0,0,1,1,0,1,0,27.58077774047854,87.58892985752651,90.41000029072164,1.275986857905614,17.60367485448971,23.73,98.93
BARANOA,2018,5,1,0,1,0,0,0,0,0,1,1,0,1,0,27.06788242885047,91.75370952061245,324.8399974703789,1.275986857905614,17.60367485448971,23.73,98.93
BARANOA,2018,6,2,0,2,0,0,0,1,0,1,2,0,0,2,27.402969796316984,92.12083625793456,273.3600022494793,1.275986857905614,17.60367485448971,23.73,98.93
BARANOA,2018,7,3,0,1,0,2,0,0,1,2,3,0,1,2,27.43353042602541,91.07329668317524,116.70000003650784,1.275986857905614,17.60367485448971,23.73,98.93
BARANOA,2018,8,7,2,0,0,5,0,3,0,4,6,1,4,3,27.476033782959007,91.86095809936523,163.66999774053693,1.275986857905614,17.60367485448971,23.73,98.93
BARANOA,2018,9,11,4,1,0,6,0,1,1,9,10,1,4,7,27.27013985770091,92.924711227417,219.92000105977056,1.275986857905614,17.60367485448971,23.73,98.93
BARANOA,2018,10,32,15,3,0,14,0,15,1,16,30,2,21,11,26.92568795340404,94.24663734436037,355.24999698996544,1.275986857905614,17.60367485448971,23.73,98.93
BARANOA,2018,11,24,16,2,0,6,0,10,0,14,24,0,13,11,26.60924355643138,93.65927914210728,224.55999985337257,1.275986857905614,17.60367485448971,23.73,98.93
BARANOA,2018,12,26,14,6,0,6,0,14,1,11,26,0,8,18,26.93894184657508,93.3365263257708,127.41000089980662,1.275986857905614,17.60367485448971,23.73,98.93
BARANOA,2018,13,54,25,4,0,25,0,19,1,34,54,0,28,26,26.905938720703144,89.91791316441127,2.510000050067901,1.275986857905614,17.60367485448971,23.73,98.93
BARANOA,2019,1,55,28,4,0,23,0,16,2,37,54,1,31,24,26.80992726293106,88.40025145432045,118.41000193357468,1.275986857905614,17.60367485448971,23.54,98.34
BARANOA,2019,2,15,7,2,0,6,0,1,1,13,14,1,10,5,27.45373251778741,86.3767751966204,113.5200001001358,1.275986857905614,17.60367485448971,23.54,98.34
BARANOA,2019,3,19,8,1,0,9,1,3,0,16,19,0,8,11,27.5056685311454,85.49825368608747,41.63000022247434,1.275986857905614,17.60367485448971,23.54,98.34
BARANOA,2019,4,2,1,1,0,0,0,0,0,2,2,0,1,1,28.032634081159337,86.7098366873605,77.58000011742115,1.275986857905614,17.60367485448971,23.54,98.34
BARANOA,2019,5,5,0,0,0,5,0,1,0,4,5,0,0,5,28.09017279488701,87.97534533909389,306.77999838627875,1.275986857905614,17.60367485448971,23.54,98.34
BARANOA,2019,6,3,1,1,0,1,0,2,0,1,3,0,1,2,27.478135681152363,91.92778887067524,300.1600031852722,1.275986857905614,17.60367485448971,23.54,98.34
BARANOA,2019,7,6,3,0,0,3,0,1,0,5,6,0,3,3,28.090301949637297,89.51113646371024,136.60000302642584,1.275986857905614,17.60367485448971,23.54,98.34
BARANOA,2019,8,15,5,3,1,6,0,4,2,9,14,1,7,8,27.872403172084287,91.79050881522042,187.6899995803833,1.275986857905614,17.60367485448971,23.54,98.34
BARANOA,2019,9,27,16,3,0,8,0,6,0,21,26,1,13,14,27.60535420009069,93.29074505397251,281.9300002157688,1.275986857905614,17.60367485448971,23.54,98.34
BARANOA,2019,10,42,27,2,0,13,0,5,2,35,42,0,19,23,26.913392094203424,94.32297216142926,277.7299993038177,1.275986857905614,17.60367485448971,23.54,98.34
BARANOA,2019,11,54,26,7,0,21,0,17,1,36,53,1,27,27,26.33442513602122,94.77273777553012,349.7800031900406,1.275986857905614,17.60367485448971,23.54,98.34
