municipio,año,poblacion,REM_total
BARANOA,2017,60676,0.2910558600914724
BARANOA,2018,62371,2.1647856052342846
BARANOA,2019,64550,4.091330201926472
BARANOA,2020,66927,2.808030863327421
BARANOA,2021,68800,0.7333639977524379
BARANOA,2022,70464,0.4789446141149795
CAMPO DE LA CRUZ,2017,22604,0.44644703508633493
CAMPO DE LA CRUZ,2018,22876,0.0
CAMPO DE LA CRUZ,2019,23641,0.8484360131728479
CAMPO DE LA CRUZ,2020,24454,0.2712411994523904
CAMPO DE LA CRUZ,2021,25124,0.2763656103088364
CAMPO DE LA CRUZ,2022,25669,1.0819308268366996
CANDELARIA,2017,15543,0.4869469591339279
CANDELARIA,2018,15977,0.052165977398091395
CANDELARIA,2019,16579,1.1291805337027572
CANDELARIA,2020,17240,0.1282469507232934
CANDELARIA,2021,17758,0.026066785273864232
CANDELARIA,2022,18197,0.2511452166777568
GALAPA,2017,58493,1.6821160756952496
GALAPA,2018,60724,1.8666423760118815
GALAPA,2019,62945,0.658558158614661
GALAPA,2020,65478,0.5909176369653579
GALAPA,2021,66754,1.1510980540534623
GALAPA,2022,67560,1.883650318639181
JUAN DE ACOSTA,2017,20366,0.37163000028570353
JUAN DE ACOSTA,2018,21005,1.9442673279493439
JUAN DE ACOSTA,2019,21596,1.0526143371801202
JUAN DE ACOSTA,2020,22270,0.44676239053045036
JUAN DE ACOSTA,2021,22748,0.5494169715191918
JUAN DE ACOSTA,2022,23149,1.5034338126605518
LURUACO,2017,27455,1.1945852682042446
LURUACO,2018,28173,0.147917477884731
LURUACO,2019,29047,1.1278685275399014
LURUACO,2020,30001,1.1423002624005378
LURUACO,2021,30713,2.532028373850525
LURUACO,2022,31315,0.13471320967985775
MALAMBO,2017,124251,0.44670214562460947
MALAMBO,2018,128199,1.0206987876630953
MALAMBO,2019,133000,0.8244339922648507
MALAMBO,2020,138416,1.7650633313120516
MALAMBO,2021,141679,2.385057772938082
MALAMBO,2022,144155,0.5974722344441523
MANATÍ,2017,19426,0.5194836189175079
MANATÍ,2018,19803,0.16834940582523994
MANATÍ,2019,20521,1.5964717664563859
MANATÍ,2020,21325,0.31104020123839443
MANATÍ,2021,21908,1.0141916514002858
MANATÍ,2022,22405,2.1495966304920384
PALMAR DE VARELA,2017,28113,0.8974041174093421
PALMAR DE VARELA,2018,28928,0.17286832568223987
PALMAR DE VARELA,2019,30007,0.512470582542566
PALMAR DE VARELA,2020,31160,0.5676450399151677
PALMAR DE VARELA,2021,32090,0.1153989337222264
PALMAR DE VARELA,2022,32941,0.1707515117381478
PIOJÓ,2017,6415,0.0
PIOJÓ,2018,6609,0.8827645250756749
PIOJÓ,2019,6830,0.0
PIOJÓ,2020,7079,0.9369871862422298
PIOJÓ,2021,7272,0.636542867014964
PIOJÓ,2022,7420,0.4737807907822028
POLONUEVO,2017,17698,0.7127562988114131
POLONUEVO,2018,18187,9.11957488079243
POLONUEVO,2019,18749,4.136600336623526
POLONUEVO,2020,19368,0.7420153499613942
POLONUEVO,2021,19836,0.6300734658256996
POLONUEVO,2022,20229,0.4518354350571101
PONEDERA,2017,23193,0.32633193574865843
PONEDERA,2018,23842,0.20974477499101715
PONEDERA,2019,24518,1.5270971586799895
PONEDERA,2020,25284,1.180517137768524
PONEDERA,2021,25818,0.1613620635231051
PONEDERA,2022,26243,0.5090394839345741
PUERTO COLOMBIA,2017,47674,0.7408694620510196
PUERTO COLOMBIA,2018,49250,0.643072511549109
PUERTO COLOMBIA,2019,52086,0.5262917145260979
PUERTO COLOMBIA,2020,55121,0.5013918085823869
PUERTO COLOMBIA,2021,57267,0.565815881791077
PUERTO COLOMBIA,2022,59069,3.207823763799168
REPELÓN,2017,25524,1.0872744925560907
REPELÓN,2018,26207,0.03180279394395793
REPELÓN,2019,26977,0.5700302024077839
REPELÓN,2020,27800,2.266649524042559
REPELÓN,2021,28418,0.09773255814482673
REPELÓN,2022,28912,0.048636600271222394
SABANAGRANDE,2017,31373,0.4020769762650815
SABANAGRANDE,2018,32341,0.3092504823806211
SABANAGRANDE,2019,33538,0.2790966078516607
SABANAGRANDE,2020,34851,0.8564516172086688
SABANAGRANDE,2021,35912,0.24490380610860812
SABANAGRANDE,2022,36855,0.1430790992105801
SABANALARGA,2017,90769,0.27794425357477515
SABANALARGA,2018,93248,0.8848675174592624
SABANALARGA,2019,95541,2.246357803721821
SABANALARGA,2020,98114,1.374621595884832
SABANALARGA,2021,99882,0.8063870495527817
SABANALARGA,2022,101256,1.0797444382800325
SANTA LUCÍA,2017,15548,0.0
SANTA LUCÍA,2018,16030,0.0
SANTA LUCÍA,2019,16629,0.12259122777239871
SANTA LUCÍA,2020,17251,1.108904646760916
SANTA LUCÍA,2021,17792,0.2131438558830354
SANTA LUCÍA,2022,18233,0.22309275610173648
SANTO TOMÁS,2017,29001,0.9767428019723439
SANTO TOMÁS,2018,29842,0.19833651463441146
SANTO TOMÁS,2019,30976,0.24130794586022952
SANTO TOMÁS,2020,32228,0.3142452426305465
SANTO TOMÁS,2021,33251,0.1568178788704875
SANTO TOMÁS,2022,34180,0.17310070629301397
SOLEDAD,2017,583036,1.4019899136046732
SOLEDAD,2018,603998,0.931431360865899
SOLEDAD,2019,627273,0.6501849662653935
SOLEDAD,2020,653377,0.7816862032769347
SOLEDAD,2021,670454,1.070839389365234
SOLEDAD,2022,683762,1.0925349198490686
SUAN,2017,11696,0.0
SUAN,2018,11937,0.06982121310960104
SUAN,2019,12350,1.0827463313046837
SUAN,2020,12827,1.2927676563905697
SUAN,2021,13192,0.14035596509802337
SUAN,2022,13503,1.6922496881749034
TUBARÁ,2017,16827,1.4993000506762229
TUBARÁ,2018,17376,0.527625116815283
TUBARÁ,2019,17949,0.14899902157906134
TUBARÁ,2020,18586,1.0111539954262077
TUBARÁ,2021,19036,0.21885090124183273
TUBARÁ,2022,19376,0.5261568464105835
USIACURÍ,2017,11888,2.546640843142204
USIACURÍ,2018,12261,1.2235710607623729
USIACURÍ,2019,12771,0.366468641223435
USIACURÍ,2020,13321,0.16597683585838713
USIACURÍ,2021,13795,0.06711039838974708
USIACURÍ,2022,14221,0.22248140924291931
